male term,female term,comment
masculine,feminine,
masculinely,femininely,
masculinity,femininity,
masculism,feminism,
masculinist,feminist,
patriarch,matriarch,
patriarchal,matriarchal,
male,female,
males,females,
maleness,femaleness,
boy,girl,
boys,girls,
gamine,girly,
boyhood,girlhood,
boyish,girlish,
boyishly,girlishly,
boyishness,girlishness,
man,woman,
men,women,
manhood,womanhood,
manliness,womanliness,
manly,womanly,
virile,uxorially,
virility,milkiness,
sir,madam,
sirs,madams,
widower,widow,
widowers,widows,
mr,ms,
mister,ms,
gentleman,damsel,
gentlemen,damsels,
gentlemanlike,ladylike,
lord,lady,
lords,ladies,
groom,bride,
grooms,brides,
bridegroom,bride,
bridegrooms,brides,
best man,bridesmaid,
best men,bridesmaids,
fiance,fiancee,
fiancé,fiancée,
fiances,fiancees,
fiancés,fiancées,
housewifely,butch,
bloke,girl,
blokes,girls,
dude,girlie,
dudes,girlies,
fella,chick,
fellas,chicks,
chap,lassie,
chaps,lassies,
guy,gal,
guys,gals,
lad,lass,
lads,lasses,
macho,diva,
machos,divas,
actor,actress,
actors,actresses,
waiter,waitress,
waiters,waitresses,
king,queen,
kings,queens,
prince,princess,
princes,princesses,
monk,nun,
monks,nuns,
brethren,nuns,
monastery,convent,
friary,nunnery,
count,countess,"replacing ""count"" may alter meaning in contexts like ""you can count on them"""
counts,countesses,may alter meaning in certain contexts
wizard,witch,
wizards,witches,
priest,priestess,
priests,priestesses,
prophet,prophetess,
prophets,prophetesses,
patron,patroness,
patrons,patronesses,
host,hostess,
hosts,hostesses,
viscount,viscountess,
viscounts,viscountesses,
shepherd,shepherdess,
shepherds,shepherdesses,
steward,stewardess,
stewards,stewardesses,
heir,heiress,
heirs,heiresses,
baron,baroness,
barons,baronesses,
abbot,abbess,
abbots,abbesses,
emperor,empress,
emperors,empresses,
traitor,traitress,
traitors,traitresses,
duke,duchess,"replacing ""duke"" may alter meaning in contexts involving ""duke university"""
dukes,duchesses,
enchanter,enchantress,
enchanters,enchantresses,
songster,songstress,
songsters,songstresses,
hero,heroine,
heroes,heroines,
sultan,sultana,
sultans,sultanas,
czar,czarina,
czars,czarinas,
signor,signora,
signors,signoras,
benefactor,benefactress,
benefactors,benefactresses,
hunter,huntress,
tempter,temptress,
tempters,temptresses,
master,mistress,"replacing ""master"" may alter meaning in contexts like ""a master of medicine"""
masters,mistresses,"replacing ""masters"" may alter meaning in contexts like ""masters degree"""
manservant,maidservant,
manservants,maidservants,
landlord,landlady,
landlords,landladies,
countryman,countrywoman,
countrymen,countrywomen,
milkman,milkmaid,
milkmen,milkmaids,
giant,giantess,"replacing ""giant"" may alter meaning in contexts like ""a giant in the field of medicine"""
giants,giantesses,may alter meaning in certain contexts
mayor,mayoress,mayor seems to be a more gender-neutral term
mayors,mayoresses,mayors seems to be a more gender-neutral term
conductor,conductress,conductor seems to be a more gender-neutral term
conductors,conductresses,conductors seems to be a more gender-neutral term
god,goddess,
gods,goddesses,
merman,mermaid,
mermen,mermaids,
oarsman,oarswoman,
oarsmen,oarswomen,
bellboy,chambermaid,
bellboys,chambermaids,
dairyman,dairymaid,
dairymen,dairymaids,
schoolmaster,schoolmistress,
schoolmasters,schoolmistresses,
headmaster,headmistress,
proprietor,proprietress,proprietor seems to be a more gender-neutral term
proprietors,proprietresses,proprietors seems to be a more gender-neutral term
ambassador,ambassadress,ambassador seems to be a more gender-neutral term
ambassadors,ambassadresses,ambassadors seems to be a more gender-neutral term
adventurer,adventuress,adventurer seems to be a more gender-neutral term
adventurers,adventuresses,adventurers seems to be a more gender-neutral term
protector,protectress,protector seems to be a more gender-neutral term
protectors,protectresses,protectors seems to be a more gender-neutral term
seducer,seductress,
seducers,seductresses,
sculptor,sculptress,sculptor seems to be a more gender-neutral term
sculptors,sculptresses,sculptors seems to be a more gender-neutral term
congressman,congresswoman,
congressmen,congresswomen,
sorcerer,sorceress,
sorcerers,sorceresses,
launderer,laundress,
launderers,laundresses,
anchorite,anchoress,
anchorites,anchoresses,
procurer,procuress,
procurers,procuresses,
elector,electress,
electors,electresses,
adulterer,adulteress,
adulterers,adulteresses,
doorman,doorwoman,
doormen,doorwomen,
policeman,policewoman,
policemen,policewomen,
fireman,firewoman,
firemen,firewomen,
businessman,businesswoman,
businessmen,businesswomen,
barman,barmaid,
barmen,barmaids,
mailman,mailwoman,
mailmen,mailwomen,
postman,postwoman,
postmen,postwoman,
salesman,saleswoman,
salesmen,saleswomen,
cowboy,cowgirl,
cowboys,cowgirls,
schoolboy,schoolgirl,
schoolboys,schoolgirls,
chairman,chairwoman,
chairmen,chairwomen,
englishman,englishwoman,
englishmen,englishwomen,
spokesman,spokeswoman,
spokesmen,spokeswomen,
councilman,councilwoman,
councilmen,councilwomen,
choirboy,choirgirl,
choirboys,choirgirls,
playboy,playgirl,
playboys,playgirls,
homeboy,homegirl,
homeboys,homegirls,
madman,madwoman,
madmen,madwomen,
anchorman,anchorwoman,
anchormen,anchorwomen,
sportsman,sportswoman,
sportsmen,sportswomen,
cameraman,camerawoman,
cameramen,camerawomen,
fisherman,fisherwoman,
fishermen,fisherwomen,
serviceman,servicewoman,
servicemen,servicewomen,
churchman,churchwoman,
churchmen,churchwomen,
clergyman,clergywoman,
clergymen,clergywomen,
craftsman,craftswoman,
craftsmen,craftswomen,
superman,superwoman,
supermen,superwomen,
nobleman,noblewoman,
noblemen,noblewomen,
horseman,horsewoman,
horsemen,horsewomen,
stuntman,stuntwoman,
stuntmen,stuntwomen,
townsman,townswoman,
townsmen,townswomen,
statesman,stateswoman,
statesmen,stateswomen,
foreman,forewoman,
foremen,forewomen,
kinsman,kinswoman,
kinsmen,kinswomen,
bondman,bondwoman,
bondmen,bondwomen,
bondsman,bondswoman,
bondsmen,bondswomen,
handyman,handywoman,
handymen,handywomen,
henchman,handmaid,
henchmen,handmaids,
strongman,strongwoman,
strongmen,strongwomen,
charman,charwoman,
charmen,charwomen,
tailor,needlewoman,
tailors,needlewomen,
newsman,newswoman,
newsmen,newswomen,
father,mother,
fathers,mothers,
brother,sister,
brothers,sisters,
husband,wife,
husbands,wives,
housewife,househusband,
housewives,househusbands,
hubby,wifey,
hubbies,wifeys,
son,daughter,
sons,daughters,
dad,mom,
dads,moms,
papa,mama,
papas,mamas,
daddy,mommy,
daddies,mommies,
pa,ma,
paternity,maternity,
paternally,maternally,
paternal,maternal,
fatherhood,motherhood,
brotherhood,sisterhood,
fraternity,sorority,
fraternities,sororities,
fraternal,sisterly,
fraternally,sisterly,
brotherly,sisterly,
fatherly,motherly,
grandfatherly,grandmotherly,
fathered,mothered,
stepfather,stepmother,
stepfathers,stepmothers,
stepbrother,stepsister,
stepbrothers,stepsisters,
stepson,stepdaughter,
stepsons,stepdaughters,
grandfather,grandmother,
grandfathers,grandmothers,
grandpa,grandma,
grandpas,grandmas,
grandson,granddaughter,
grandsons,granddaughters,
nephew,niece,
nephews,nieces,
